Date,Open,High,Low,Close,Adj Close,Volume
1998-11-09,8.794000,8.999000,8.794000,8.999000,6.689694,18700
1998-11-10,9.203000,9.203000,9.152000,9.152000,6.803431,16800
1998-11-11,9.203000,9.203000,9.203000,9.203000,6.841345,5600
1998-11-12,9.050000,9.050000,8.820000,8.820000,6.556629,2000
1998-11-13,8.436000,8.436000,8.232000,8.334000,6.195345,14100
1998-11-16,8.436000,8.692000,8.436000,8.590000,6.385651,1952
1998-11-17,8.692000,8.692000,8.692000,8.692000,6.461475,2200
1998-11-18,8.896000,8.896000,8.794000,8.794000,6.537301,400
1998-11-19,8.948000,8.999000,8.794000,8.896000,6.613126,2100
1998-11-20,8.845000,8.845000,8.692000,8.692000,6.461475,1400
1998-11-23,8.539000,8.539000,8.539000,8.692000,6.461475,300
1998-11-24,8.436000,8.692000,8.436000,8.539000,6.347738,5140
1998-11-25,8.590000,8.590000,8.590000,8.590000,6.385651,300
1998-11-26,null,null,null,null,null,null
1998-11-27,8.590000,8.692000,8.436000,8.692000,6.461475,1800
1998-11-30,8.487000,8.692000,8.487000,8.692000,6.461475,7000
1998-12-01,8.436000,8.436000,8.436000,8.692000,6.461475,7100
1998-12-02,8.436000,8.539000,8.436000,8.539000,6.347738,1400
1998-12-03,8.436000,8.487000,8.436000,8.487000,6.309083,1700
1998-12-04,8.436000,8.692000,8.436000,8.692000,6.461475,4600
1998-12-07,8.692000,8.692000,8.692000,8.692000,6.461475,1400
1998-12-08,8.692000,8.718000,8.692000,8.692000,6.461475,675
1998-12-09,null,null,null,null,null,null
1998-12-10,8.692000,8.948000,8.692000,8.948000,6.651783,3800
1998-12-11,8.590000,8.590000,8.590000,8.948000,6.651783,6200
1998-12-14,8.999000,9.203000,8.794000,8.948000,6.651783,10600
1998-12-15,8.948000,9.050000,8.948000,9.024000,6.708280,5400
1998-12-16,8.999000,9.203000,8.999000,8.999000,6.689694,2900
1998-12-17,9.101000,9.203000,9.101000,9.203000,6.841345,3100
1998-12-18,9.075000,9.459000,9.075000,9.203000,6.841345,1000
1998-12-21,9.203000,9.203000,9.203000,9.203000,6.841345,500
1998-12-22,null,null,null,null,null,null
1998-12-23,9.075000,9.459000,8.999000,9.152000,6.803431,3083
1998-12-24,null,null,null,null,null,null
1998-12-25,null,null,null,null,null,null
1998-12-28,9.306000,9.306000,8.973000,9.203000,6.841345,5400
1998-12-29,9.101000,9.101000,8.896000,9.101000,6.765520,5712
1998-12-30,8.948000,9.203000,8.948000,9.178000,6.822760,6540
1998-12-31,null,null,null,null,null,null
1999-01-01,null,null,null,null,null,null
1999-01-04,8.950000,9.250000,8.750000,8.900000,6.616099,8000
1999-01-05,8.700000,9.100000,8.700000,9.100000,6.764775,3100
1999-01-06,8.900000,9.000000,8.900000,9.000000,6.690438,900
1999-01-07,8.850000,8.900000,8.650000,8.750000,6.504592,3850
1999-01-08,8.800000,9.000000,8.800000,8.910000,6.623533,4500
1999-01-11,8.810000,8.850000,8.650000,8.850000,6.578930,3100
1999-01-12,8.900000,8.900000,8.800000,8.800000,6.541761,2700
1999-01-13,8.700000,8.750000,8.700000,8.700000,6.467422,2600
1999-01-14,8.800000,8.800000,8.800000,8.700000,6.467422,100
1999-01-15,8.800000,8.850000,8.800000,8.850000,6.578930,458
1999-01-18,8.950000,8.950000,8.880000,8.950000,6.653268,2300
1999-01-19,9.000000,9.200000,9.000000,9.200000,6.839114,15500
1999-01-20,9.000000,9.010000,8.850000,8.850000,6.578930,14200
1999-01-21,8.900000,8.900000,8.800000,8.850000,6.578930,3700
1999-01-22,8.850000,9.000000,8.700000,8.850000,6.578930,4600
1999-01-25,9.000000,9.100000,8.800000,9.000000,6.690438,13850
1999-01-26,9.000000,9.000000,8.850000,9.000000,6.690438,9500
1999-01-27,9.000000,9.100000,8.750000,8.750000,6.504592,19000
1999-01-28,8.700000,9.080000,8.700000,8.800000,6.541761,32300
1999-01-29,9.000000,9.000000,8.850000,8.950000,6.653268,41280
1999-02-01,9.000000,9.100000,8.900000,9.100000,6.764775,10520
1999-02-02,8.950000,8.950000,8.950000,8.950000,6.653268,500
1999-02-03,9.000000,9.100000,9.000000,9.100000,6.764775,9450
1999-02-04,9.050000,9.100000,9.000000,9.000000,6.690438,19044
1999-02-05,9.100000,9.150000,8.900000,9.150000,6.801945,27000
1999-02-08,9.150000,9.200000,9.100000,9.100000,6.764775,8340
1999-02-09,9.200000,9.200000,9.150000,9.200000,6.839114,4860
1999-02-10,9.100000,9.150000,9.000000,9.200000,6.839114,11300
1999-02-11,9.150000,9.500000,9.150000,9.500000,7.062128,34641
1999-02-12,9.550000,9.600000,9.400000,9.500000,7.062128,9000
1999-02-15,9.500000,9.600000,9.270000,9.500000,7.062128,8363
1999-02-16,9.550000,9.550000,9.550000,9.550000,7.099298,400
1999-02-17,9.400000,9.400000,9.200000,9.250000,6.876284,4000
1999-02-18,9.200000,9.200000,9.200000,9.200000,6.839114,336
1999-02-19,9.050000,9.050000,9.050000,9.050000,6.727607,3760
1999-02-22,9.150000,9.150000,9.000000,9.000000,6.690438,1100
1999-02-23,9.050000,9.050000,9.000000,9.000000,6.690438,1500
1999-02-24,null,null,null,null,null,null
1999-02-25,9.100000,9.100000,9.100000,9.100000,6.764775,1600
1999-02-26,9.250000,9.300000,9.250000,9.100000,6.764775,3400
1999-03-01,null,null,null,null,null,null
1999-03-02,9.250000,9.400000,9.250000,9.300000,6.913452,6400
1999-03-03,9.400000,9.400000,9.000000,9.000000,6.690438,600
1999-03-04,9.200000,9.350000,9.200000,9.350000,6.950623,320
1999-03-05,9.200000,9.350000,9.200000,9.300000,6.913452,6930
1999-03-08,9.200000,9.200000,9.200000,9.200000,6.839114,50
1999-03-09,9.250000,9.300000,9.250000,9.300000,6.913452,1400
1999-03-10,9.200000,9.260000,9.200000,9.260000,6.883717,2400
1999-03-11,9.000000,9.500000,9.000000,9.500000,7.062128,9200
1999-03-12,9.100000,9.450000,9.100000,9.500000,7.062128,700
1999-03-15,9.500000,9.550000,9.400000,9.400000,6.987791,8475
1999-03-16,9.500000,9.500000,9.400000,9.400000,6.987791,9571
1999-03-17,8.700000,8.700000,8.450000,8.600000,6.393084,17500
1999-03-18,8.600000,8.650000,8.550000,8.550000,6.355915,3345
1999-03-19,8.550000,8.690000,8.400000,8.480000,6.303879,12297
1999-03-22,8.550000,8.580000,8.450000,8.580000,6.378217,13103
1999-03-23,8.500000,8.500000,8.000000,7.900000,5.872717,15910
1999-03-24,8.050000,8.050000,8.000000,8.000000,5.947056,1700
