Date,Open,High,Low,Close,Adj Close,Volume
1998-11-11,15.140300,15.140300,15.140300,15.140300,8.736872,2803
1998-11-12,null,null,null,null,null,null
1998-11-13,null,null,null,null,null,null
1998-11-16,14.775500,14.775500,14.775500,14.775500,8.526359,2803
1998-11-17,14.501900,14.501900,14.501900,14.501900,8.368475,2803
1998-11-18,null,null,null,null,null,null
1998-11-19,14.045800,14.045800,14.045800,14.045800,8.105278,2803
1998-11-20,14.228300,14.228300,14.228300,14.228300,8.210591,5606
1998-11-23,14.374200,14.374200,14.210000,14.228300,8.210591,19620
1998-11-24,null,null,null,null,null,null
1998-11-25,14.137000,14.137000,14.137000,14.137000,8.157907,2803
1998-11-26,null,null,null,null,null,null
1998-11-27,13.681000,13.681000,13.681000,13.681000,7.894765,2803
1998-11-30,null,null,null,null,null,null
1998-12-01,null,null,null,null,null,null
1998-12-02,null,null,null,null,null,null
1998-12-03,null,null,null,null,null,null
1998-12-04,12.768900,12.768900,12.768900,12.768900,7.368429,2803
1998-12-07,12.768900,12.951400,12.768900,12.951400,7.473743,3083
1998-12-08,12.495300,12.495300,12.221700,12.951400,7.473743,5606
1998-12-09,11.984600,12.130500,11.929800,11.958100,6.900549,9810
1998-12-10,11.966300,11.966300,11.765700,11.765700,6.789522,11212
1998-12-11,null,null,null,null,null,null
1998-12-14,null,null,null,null,null,null
1998-12-15,null,null,null,null,null,null
1998-12-16,12.310200,12.310200,12.310200,12.310200,7.103730,2803
1998-12-17,12.586500,12.586500,12.230800,12.312900,7.105290,7007
1998-12-18,12.509000,12.509000,12.509000,12.312900,7.105290,2803
1998-12-21,12.768900,12.768900,12.677700,12.677700,7.315800,5606
1998-12-22,13.042600,13.060800,13.042600,13.060800,7.536873,7988
1998-12-23,13.133800,13.133800,13.115500,13.115500,7.568438,8409
1998-12-24,null,null,null,null,null,null
1998-12-25,null,null,null,null,null,null
1998-12-28,null,null,null,null,null,null
1998-12-29,13.316200,13.494000,13.316200,13.494000,7.786856,5606
1998-12-30,13.593500,13.593500,13.593500,13.593500,7.844274,2803
1998-12-31,null,null,null,null,null,null
1999-01-01,null,null,null,null,null,null
1999-01-04,13.827000,13.827000,13.827000,13.827000,7.979016,2803
1999-01-05,13.700000,13.700000,13.700000,13.700000,7.905729,2803
1999-01-06,null,null,null,null,null,null
1999-01-07,13.030000,13.030000,13.030000,13.030000,7.519099,2803
1999-01-08,null,null,null,null,null,null
1999-01-11,null,null,null,null,null,null
1999-01-12,null,null,null,null,null,null
1999-01-13,null,null,null,null,null,null
1999-01-14,null,null,null,null,null,null
1999-01-15,null,null,null,null,null,null
1999-01-18,null,null,null,null,null,null
1999-01-19,null,null,null,null,null,null
1999-01-20,null,null,null,null,null,null
1999-01-21,null,null,null,null,null,null
1999-01-22,null,null,null,null,null,null
1999-01-25,null,null,null,null,null,null
1999-01-26,null,null,null,null,null,null
1999-01-27,13.173400,13.173400,13.173400,13.173400,7.601850,2803
1999-01-28,null,null,null,null,null,null
1999-01-29,12.834400,12.834400,12.576100,12.576100,7.257173,5606
1999-02-01,null,null,null,null,null,null
1999-02-02,null,null,null,null,null,null
1999-02-03,null,null,null,null,null,null
1999-02-04,null,null,null,null,null,null
1999-02-05,12.486900,12.486900,12.486900,12.486900,7.205699,5606
1999-02-08,null,null,null,null,null,null
1999-02-09,null,null,null,null,null,null
1999-02-10,12.629700,12.629700,12.504800,12.486900,7.205699,8409
1999-02-11,null,null,null,null,null,null
1999-02-12,12.736700,12.736700,12.629700,12.504800,7.216027,5606
1999-02-15,null,null,null,null,null,null
1999-02-16,null,null,null,null,null,null
1999-02-17,12.843700,12.843700,12.808000,12.808000,7.390992,5606
1999-02-18,null,null,null,null,null,null
1999-02-19,null,null,null,null,null,null
1999-02-22,null,null,null,null,null,null
1999-02-23,12.950800,12.950800,12.950800,12.950800,7.473398,2803
1999-02-24,null,null,null,null,null,null
1999-02-25,null,null,null,null,null,null
1999-02-26,13.236200,13.236200,13.236200,13.046000,7.528331,2803
1999-03-01,null,null,null,null,null,null
1999-03-02,null,null,null,null,null,null
1999-03-03,null,null,null,null,null,null
1999-03-04,null,null,null,null,null,null
1999-03-05,null,null,null,null,null,null
1999-03-08,null,null,null,null,null,null
1999-03-09,null,null,null,null,null,null
1999-03-10,null,null,null,null,null,null
1999-03-11,null,null,null,null,null,null
1999-03-12,12.897200,12.897200,12.683200,13.236200,7.638089,3364
1999-03-15,12.772400,12.772400,12.772400,12.772400,7.370448,2803
1999-03-16,13.057800,13.057800,12.879400,12.879400,7.432195,3644
1999-03-17,null,null,null,null,null,null
1999-03-18,12.754500,12.754500,12.665300,12.665300,7.308645,5634
1999-03-19,12.594000,12.594000,12.594000,12.594000,7.267501,2803
1999-03-22,null,null,null,null,null,null
1999-03-23,null,null,null,null,null,null
1999-03-24,12.486900,12.486900,12.486900,12.486900,7.205699,2803
1999-03-25,null,null,null,null,null,null
1999-03-26,null,null,null,null,null,null
1999-03-29,null,null,null,null,null,null
1999-03-30,12.023100,12.058800,11.844800,11.844800,6.835167,11212
1999-03-31,null,null,null,null,null,null
1999-04-01,11.773400,11.773400,11.595000,11.773400,6.793965,11212
1999-04-02,null,null,null,null,null,null
1999-04-05,null,null,null,null,null,null
1999-04-06,null,null,null,null,null,null
1999-04-07,11.595000,11.595000,11.595000,11.595000,6.691017,2803
1999-04-08,11.595000,11.595000,11.595000,11.595000,6.691017,2803
1999-04-09,11.737700,11.737700,11.737700,11.595000,6.691017,1401
1999-04-12,11.595000,11.595000,11.595000,11.595000,6.691017,2803
1999-04-13,11.773400,11.773400,11.773400,11.595000,6.691017,28
1999-04-14,null,null,null,null,null,null
1999-04-15,null,null,null,null,null,null
1999-04-16,null,null,null,null,null,null
1999-04-19,null,null,null,null,null,null
1999-04-20,null,null,null,null,null,null
1999-04-21,11.916100,11.916100,11.844800,11.844800,6.835167,16509
1999-04-22,null,null,null,null,null,null
1999-04-23,11.773400,11.773400,11.773400,11.844800,6.835167,2803
1999-04-26,null,null,null,null,null,null
1999-04-27,null,null,null,null,null,null
1999-04-28,null,null,null,null,null,null
1999-04-29,null,null,null,null,null,null
1999-04-30,11.951800,11.951800,11.951800,11.773400,6.793965,2803
1999-05-03,12.463700,12.463700,12.463700,11.951800,6.896913,2803
1999-05-04,null,null,null,null,null,null
1999-05-05,13.646500,13.646500,13.557300,12.463700,7.192309,5606
1999-05-06,null,null,null,null,null,null
1999-05-07,13.500900,13.537300,13.500900,13.557300,7.823384,5606
1999-05-10,13.485900,13.485900,13.485900,13.537300,7.811841,2803
1999-05-11,null,null,null,null,null,null
1999-05-12,13.373500,13.464500,13.373500,13.485900,7.782181,5606
1999-05-13,null,null,null,null,null,null
1999-05-14,13.378900,13.378900,13.378900,13.464500,7.769832,1065
1999-05-17,null,null,null,null,null,null
1999-05-18,13.378900,13.485900,13.378900,13.378900,7.720436,5606
1999-05-19,null,null,null,null,null,null
1999-05-20,null,null,null,null,null,null
1999-05-21,null,null,null,null,null,null
1999-05-24,null,null,null,null,null,null
1999-05-25,13.700000,13.700000,13.700000,13.485900,7.782181,5606
1999-05-26,13.539400,13.539400,13.539400,13.700000,7.905729,2803
1999-05-27,null,null,null,null,null,null
1999-05-28,null,null,null,null,null,null
